Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
1;0.500058;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
2;1.000173;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
3;1.500068;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
4;2.000217;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
5;2.500081;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
6;3.000067;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
7;3.500233;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
8;4.000171;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
9;4.500159;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
10;5.000081;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
11;5.500036;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
12;6.000175;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
13;6.500245;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
14;7.000184;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
15;7.500218;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
16;8.000107;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
17;8.500062;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
18;9.000137;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
19;9.500108;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
20;10.000030;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
21;10.500135;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
22;11.000161;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
23;11.500103;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
24;12.000045;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
25;12.500226;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
26;13.000123;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
27;13.500072;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
28;14.000088;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
29;14.500215;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
30;15.000201;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
31;15.500171;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
32;16.000018;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
33;16.500161;0;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00
