Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N];Weight.x [N];Weight.y [N];Weight.z [N];ForceTotal.x [N];ForceTotal.y [N];ForceTotal.z [N];ForceTotal [N]
0;0.000000;2104; -3.108812888682E+02;  8.717531167409E+01; -7.912959050044E+03;  7.919543398354E+03;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04; -3.108812888682E+02;  8.717531167409E+01; -2.855319993292E+04;  2.855502535667E+04
1;0.500058;2104;  2.719902413502E+03; -3.919447487957E+02;  3.275361995962E+04;  3.286869498907E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.719902413502E+03; -3.919447487957E+02;  1.211337907675E+04;  1.242116912702E+04
2;1.000173;2104;  2.880163152812E+03; -1.053132251371E+01;  3.222149545424E+04;  3.234996476047E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.880163152812E+03; -1.053132251371E+01;  1.158125457137E+04;  1.193402313315E+04
3;1.500068;2104;  1.817804088227E+03;  1.062849498115E+01;  2.254267091774E+04;  2.261584702755E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.817804088227E+03;  1.062849498115E+01;  1.902430034863E+03;  2.631304753469E+03
4;2.000217;2104;  2.841414189321E+03;  1.104898406222E+01;  2.132857034890E+04;  2.151700884889E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.841414189321E+03;  1.104898406222E+01;  6.883294660267E+02;  2.923620038432E+03
5;2.500081;2104;  1.754111106706E+03; -3.484863912978E+01;  2.466051079041E+04;  2.472284192091E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.754111106706E+03; -3.484863912978E+01;  4.020269907541E+03;  4.386421130237E+03
6;3.000067;2104;  2.874423787963E+03; -6.064189858644E+01;  2.401920387907E+04;  2.419066234184E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.874423787963E+03; -6.064189858644E+01;  3.378962996198E+03;  4.436595595988E+03
7;3.500233;2104;  1.864011334920E+03; -6.045190477249E+00;  2.318958831848E+04;  2.326438439292E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.864011334920E+03; -6.045190477249E+00;  2.549347435607E+03;  3.158123991941E+03
8;4.000171;2104;  2.732510789525E+03; -2.208929358986E+01;  2.372269999696E+04;  2.387956444950E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.732510789525E+03; -2.208929358986E+01;  3.082459114091E+03;  4.119303016507E+03
9;4.500159;2104;  1.785858384584E+03; -2.655872080580E+01;  2.358482961958E+04;  2.365236106016E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.785858384584E+03; -2.655872080580E+01;  2.944588736707E+03;  3.443921945077E+03
10;5.000081;2104;  2.378187423752E+03;  6.195735868299E+00;  2.370123677542E+04;  2.382025269585E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.378187423752E+03;  6.195735868299E+00;  3.060995892547E+03;  3.876275230660E+03
11;5.500036;2104;  1.595940446699E+03; -4.323668229522E+01;  2.352665398605E+04;  2.358076213991E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.595940446699E+03; -4.323668229522E+01;  2.886413103172E+03;  3.298526325841E+03
12;6.000175;2104;  2.217183432576E+03; -2.499369590427E+01;  2.361296769712E+04;  2.371684571194E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.217183432576E+03; -2.499369590427E+01;  2.972726814246E+03;  3.708588919072E+03
13;6.500245;2104;  1.524958145116E+03;  1.838983023516E+01;  2.354353658872E+04;  2.359287923579E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.524958145116E+03;  1.838983023516E+01;  2.903295705842E+03;  3.279475794357E+03
14;7.000184;2104;  2.318560431236E+03; -5.456399565563E+00;  2.371538016327E+04;  2.382844956211E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.318560431236E+03; -5.456399565563E+00;  3.075139280392E+03;  3.851263927518E+03
15;7.500218;2104;  1.691120316652E+03; -2.539604662079E+01;  2.357710276922E+04;  2.363768829380E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.691120316652E+03; -2.539604662079E+01;  2.936861886343E+03;  3.389054532466E+03
16;8.000107;2104;  2.587252329762E+03;  2.488219255116E+00;  2.380241503309E+04;  2.394261560933E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.587252329762E+03;  2.488219255116E+00;  3.162174150212E+03;  4.085734470736E+03
17;8.500062;2104;  1.751401642688E+03; -1.992070002848E+01;  2.359776083397E+04;  2.366267357941E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.751401642688E+03; -1.992070002848E+01;  2.957519951097E+03;  3.437255999986E+03
18;9.000137;2104;  2.759170992365E+03;  1.650035820721E+01;  2.385771738284E+04;  2.401674364993E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.759170992365E+03;  1.650035820721E+01;  3.217476499970E+03;  4.238567193615E+03
19;9.500108;2104;  1.790762255307E+03; -5.780430936012E+01;  2.360185673867E+04;  2.366976578477E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.790762255307E+03; -5.780430936012E+01;  2.961615855793E+03;  3.461407122905E+03
20;10.000030;2104;  2.659109073117E+03;  1.737739202497E+01;  2.392126822157E+04;  2.406861517339E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.659109073117E+03;  1.737739202497E+01;  3.281027338695E+03;  4.223304800006E+03
21;10.500135;2104;  1.834165741666E+03;  1.118706591194E+01;  2.366248779506E+04;  2.373347041142E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.834165741666E+03;  1.118706591194E+01;  3.022246912185E+03;  3.535288604422E+03
22;11.000161;2104;  2.486420424767E+03; -8.613840547332E+00;  2.375837751201E+04;  2.388813225705E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.486420424767E+03; -8.613840547332E+00;  3.118136629141E+03;  3.988124467083E+03
23;11.500103;2104;  1.725348647185E+03; -2.712927833426E+01;  2.367713037344E+04;  2.373992558272E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.725348647185E+03; -2.712927833426E+01;  3.036889490570E+03;  3.492887305657E+03
24;12.000045;2104;  2.446730815369E+03; -7.108665109728E+00;  2.389848497223E+04;  2.402340788032E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.446730815369E+03; -7.108665109728E+00;  3.258244089359E+03;  4.074640691133E+03
25;12.500226;2104;  1.636276598466E+03; -6.144761620165E+01;  2.368562037617E+04;  2.374215216699E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.636276598466E+03; -6.144761620165E+01;  3.045379493297E+03;  3.457674532748E+03
26;13.000123;2104;  2.358830977986E+03; -2.475521199597E+01;  2.380931404910E+04;  2.392588831981E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.358830977986E+03; -2.475521199597E+01;  3.169073166228E+03;  3.950660848027E+03
27;13.500072;2104;  1.739258733413E+03; -5.359302511043E+01;  2.361484568525E+04;  2.367886884740E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.739258733413E+03; -5.359302511043E+01;  2.974604802379E+03;  3.446181493252E+03
