Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N];Weight.x [N];Weight.y [N];Weight.z [N];ForceTotal.x [N];ForceTotal.y [N];ForceTotal.z [N];ForceTotal [N]
28;14.000088;2104;  2.557901735931E+03; -7.331528123288E+01;  2.391017042578E+04;  2.404671466564E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.557901735931E+03; -7.331528123288E+01;  3.269929542905E+03;  4.152189258295E+03
29;14.500215;2104;  1.790740210742E+03; -4.545334356371E-01;  2.359560311273E+04;  2.366345784036E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.790740210742E+03; -4.545334356371E-01;  2.955362229853E+03;  3.455563140591E+03
30;15.000201;2104;  2.667637594753E+03; -2.214819236810E+01;  2.399695113664E+04;  2.414478090051E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.667637594753E+03; -2.214819236810E+01;  3.356710253764E+03;  4.287689891665E+03
31;15.500171;2104;  1.877974419857E+03; -5.766231310024E+01;  2.372410456897E+04;  2.379838756016E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.877974419857E+03; -5.766231310024E+01;  3.083863686098E+03;  3.611139445996E+03
32;16.000018;2104;  2.676051724217E+03; -7.240962913050E+01;  2.390743093674E+04;  2.405684414008E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.676051724217E+03; -7.240962913050E+01;  3.267190053871E+03;  4.223863969541E+03
33;16.500161;2104;  1.889076235309E+03;  3.295628553489E+01;  2.358245201318E+04;  2.365801636008E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.889076235309E+03;  3.295628553489E+01;  2.942211130310E+03;  3.496612857450E+03
34;17.000095;2104;  2.609362994329E+03; -5.557656796181E+01;  2.370763208721E+04;  2.385086336328E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.609362994329E+03; -5.557656796181E+01;  3.067391204339E+03;  4.027499570643E+03
35;17.500035;2104;  1.879032408219E+03; -5.589078726014E+01;  2.340035215113E+04;  2.347573997488E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.879032408219E+03; -5.589078726014E+01;  2.760111268261E+03;  3.339476124247E+03
36;18.000039;2104;  2.480204849037E+03; -4.606994633563E+00;  2.367697550548E+04;  2.380652445034E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.480204849037E+03; -4.606994633563E+00;  3.036734622603E+03;  3.920866547805E+03
37;18.500087;2104;  1.900089025092E+03; -6.712340773067E+00;  2.343226036906E+04;  2.350917287703E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.900089025092E+03; -6.712340773067E+00;  2.792019486181E+03;  3.377240910864E+03
38;19.000049;2104;  2.557798814273E+03; -6.292239954276E+01;  2.344681248831E+04;  2.358599817401E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.557798814273E+03; -6.292239954276E+01;  2.806571605435E+03;  3.797780691285E+03
39;19.500021;2104;  1.911960803553E+03; -3.305611565197E+01;  2.340599950239E+04;  2.348398389385E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.911960803553E+03; -3.305611565197E+01;  2.765758619512E+03;  3.362455585210E+03
40;20.000156;2104;  2.529686643001E+03; -1.878285580780E+01;  2.355746933300E+04;  2.369291093729E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.529686643001E+03; -1.878285580780E+01;  2.917228450124E+03;  3.861332559838E+03
41;20.500170;2104;  1.934848690232E+03; -4.899080666178E+01;  2.331693364467E+04;  2.339712448450E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.934848690232E+03; -4.899080666178E+01;  2.676692761800E+03;  3.303138461267E+03
42;21.000108;2104;  2.564567966431E+03; -8.980811347626E+01;  2.356304572563E+04;  2.370236693286E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.564567966431E+03; -8.980811347626E+01;  2.922804842755E+03;  3.889455296121E+03
43;21.500223;2104;  1.915483598383E+03;  2.807139669545E+01;  2.348312090815E+04;  2.356112970564E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.915483598383E+03;  2.807139669545E+01;  2.842880025277E+03;  3.428094551949E+03
44;22.000219;2104;  2.581485948542E+03; -4.542281101935E+01;  2.364826110657E+04;  2.378878698671E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.581485948542E+03; -4.542281101935E+01;  3.008020223700E+03;  3.964128983833E+03
45;22.500102;2104;  1.868070199687E+03; -1.565857045446E+01;  2.355806935579E+04;  2.363202410361E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.868070199687E+03; -1.565857045446E+01;  2.917828472913E+03;  3.464629050725E+03
46;23.000137;2104;  2.573580278632E+03; -2.656210935395E+01;  2.369687180542E+04;  2.383622777116E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.573580278632E+03; -2.656210935395E+01;  3.056630922542E+03;  3.995874571712E+03
47;23.500195;2104;  1.848504573348E+03;  2.251137128996E+01;  2.371517242986E+04;  2.378711582554E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.848504573348E+03;  2.251137128996E+01;  3.074931546989E+03;  3.587851716305E+03
48;24.000245;2104;  2.472483094699E+03; -7.327673792187E+01;  2.378195325468E+04;  2.391024556004E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.472483094699E+03; -7.327673792187E+01;  3.141712371802E+03;  3.998612104347E+03
49;24.500217;2104;  1.779887002591E+03;  7.358649472095E+00;  2.350389878083E+04;  2.357119661348E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.779887002591E+03;  7.358649472095E+00;  2.863657897960E+03;  3.371733745161E+03
50;25.000140;2104;  2.435530364308E+03; -3.202079031267E+01;  2.376429382901E+04;  2.388879433287E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.435530364308E+03; -3.202079031267E+01;  3.124052946136E+03;  3.961381109757E+03
51;25.500120;2104;  1.816305356467E+03; -2.934584782195E+01;  2.351394339678E+04;  2.358400645339E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.816305356467E+03; -2.934584782195E+01;  2.873702513903E+03;  3.399704761465E+03
52;26.000063;2104;  2.482663665068E+03; -4.268956458196E+01;  2.364588685399E+04;  2.377589969663E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.482663665068E+03; -4.268956458196E+01;  3.005645971113E+03;  3.898634245020E+03
53;26.500187;2104;  1.874021721647E+03; -5.176726751379E+00;  2.343686019085E+04;  2.351166518597E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.874021721647E+03; -5.176726751379E+00;  2.796619307978E+03;  3.366461609087E+03
54;27.000122;2104;  2.562402829343E+03; -2.243207077775E+01;  2.380564249655E+04;  2.394316240874E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.562402829343E+03; -2.243207077775E+01;  3.165401613678E+03;  4.072613268345E+03
55;27.500052;2104;  1.841526213972E+03; -1.575629048448E+01;  2.353675932943E+04;  2.360869557576E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  1.841526213972E+03; -1.575629048448E+01;  2.896518446556E+03;  3.432387823175E+03
56;28.000075;2104;  2.611972033605E+03; -3.908435626607E+01;  2.380084274512E+04;  2.394376830971E+04;  0.000000000000E+00;  0.000000000000E+00; -2.064024088287E+04;  2.611972033605E+03; -3.908435626607E+01;  3.160601862247E+03;  4.100406031466E+03
