Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N];Weight.x [N];Weight.y [N];Weight.z [N];ForceTotal.x [N];ForceTotal.y [N];ForceTotal.z [N];ForceTotal [N]
20;20.000031;10141;  1.697568019387E+03;  5.773475260033E+01;  1.836933799046E+04;  1.844770036319E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.697568019387E+03;  5.773475260033E+01;  5.933887288835E+03;  6.172202916197E+03
21;21.000017;10141;  1.787890271255E+03; -8.791209094173E+01;  1.844526995661E+04;  1.853192553217E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.787890271255E+03; -8.791209094173E+01;  6.009819254982E+03;  6.270742191745E+03
22;22.000007;10141;  1.606758661109E+03; -6.493371698307E+01;  1.827385581331E+04;  1.834447317500E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.606758661109E+03; -6.493371698307E+01;  5.838405111683E+03;  6.055812417073E+03
23;23.000026;10141;  1.630415571380E+03; -4.132500397224E+01;  1.838119079646E+04;  1.845340450397E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.630415571380E+03; -4.132500397224E+01;  5.945740094835E+03;  6.165370059183E+03
24;24.000017;10141;  1.609504515936E+03;  1.057407581235E+02;  1.833859027682E+04;  1.840938834496E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.609504515936E+03;  1.057407581235E+02;  5.903139575190E+03;  6.119537788013E+03
25;25.000033;10141;  1.616464704163E+03;  1.109772193641E+02;  1.824961744611E+04;  1.832140308526E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.616464704163E+03;  1.109772193641E+02;  5.814166744489E+03;  6.035711144161E+03
26;26.000016;10141;  1.535123750774E+03;  2.101349852413E+01;  1.850464658526E+04;  1.856822532561E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.535123750774E+03;  2.101349852413E+01;  6.069195883635E+03;  6.260366217023E+03
27;27.000026;10141;  1.629208971045E+03;  4.421238068331E+01;  1.843960935242E+04;  1.851149560883E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.629208971045E+03;  4.421238068331E+01;  6.004158650794E+03;  6.221430519571E+03
28;28.000018;10141;  1.535879627998E+03;  1.061920950584E+02;  1.843057427720E+04;  1.849476334480E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.535879627998E+03;  1.061920950584E+02;  5.995123575575E+03;  6.189645359725E+03
29;29.000018;10141;  1.623902094449E+03;  2.910742870816E+01;  1.846468364770E+04;  1.853597711113E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.623902094449E+03;  2.910742870816E+01;  6.029232946074E+03;  6.244161686951E+03
30;30.000004;10141;  1.623673669510E+03; -6.940117184779E+01;  1.844606129765E+04;  1.851751360481E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.623673669510E+03; -6.940117184779E+01;  6.010610596023E+03;  6.226441394949E+03
31;31.000020;10141;  1.558770298866E+03;  6.636217381735E+01;  1.844933569166E+04;  1.851518717827E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.558770298866E+03;  6.636217381735E+01;  6.013884990033E+03;  6.212968811775E+03
32;32.000027;10141;  1.567514840900E+03; -2.344432402294E+01;  1.822260984071E+04;  1.828991967778E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.567514840900E+03; -2.344432402294E+01;  5.787159139088E+03;  5.995737095128E+03
33;33.000031;10141;  1.525352708820E+03; -3.176465816577E+01;  1.833752599522E+04;  1.840088501962E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.525352708820E+03; -3.176465816577E+01;  5.902075293598E+03;  6.096080925572E+03
34;34.000002;10141;  1.504723307426E+03;  5.420950444154E+01;  1.843810420977E+04;  1.849948155361E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.504723307426E+03;  5.420950444154E+01;  6.002653508143E+03;  6.188616973210E+03
35;35.000022;10141;  1.558068283919E+03;  4.350512666982E+00;  1.849035574506E+04;  1.855588454596E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.558068283919E+03;  4.350512666982E+00;  6.054905043431E+03;  6.252157290831E+03
36;36.000007;10141;  1.585284867182E+03; -1.871879728731E+01;  1.836902260241E+04;  1.843731189386E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.585284867182E+03; -1.871879728731E+01;  5.933571900787E+03;  6.141722397284E+03
37;37.000002;10141;  1.555594308419E+03; -9.892946468592E+01;  1.851169729923E+04;  1.857720639896E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.555594308419E+03; -9.892946468592E+01;  6.076246597604E+03;  6.272992380535E+03
38;38.000026;10141;  1.563159152896E+03;  5.421240087328E+01;  1.845323787852E+04;  1.851940586852E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.563159152896E+03;  5.421240087328E+01;  6.017787176893E+03;  6.217730134709E+03
39;39.000047;10141;  1.515795205623E+03;  2.481120264712E+01;  1.841690933496E+04;  1.847919912099E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.515795205623E+03;  2.481120264712E+01;  5.981458633332E+03;  6.170583285511E+03
40;40.000057;10141;  1.671492366401E+03;  3.451687019793E+00;  1.843903661369E+04;  1.851464204045E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.671492366401E+03;  3.451687019793E+00;  6.003585912061E+03;  6.231929271789E+03
