Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N];Weight.x [N];Weight.y [N];Weight.z [N];ForceTotal.x [N];ForceTotal.y [N];ForceTotal.z [N];ForceTotal [N]
0;0.000000;10141;  4.978064876845E+03; -5.388450842219E+02; -2.924477906316E+04;  2.967033175406E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  4.978064876845E+03; -5.388450842219E+02; -4.168022976478E+04;  4.197991230562E+04
1;1.000044;10141;  3.294553696443E+03;  4.454866690409E+02;  3.352806760830E+04;  3.369248966725E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  3.294553696443E+03;  4.454866690409E+02;  2.109261690668E+04;  2.135300986753E+04
2;2.000018;10141;  3.741257386726E+03;  4.452509458005E+02;  2.113501271929E+04;  2.146820947082E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  3.741257386726E+03;  4.452509458005E+02;  8.699562017668E+03;  9.480381560766E+03
3;3.000011;10141;  2.354264265626E+03;  1.835500986900E+02;  1.912902191429E+04;  1.927422450498E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  2.354264265626E+03;  1.835500986900E+02;  6.693571212664E+03;  7.097897325978E+03
4;4.000001;10141;  2.377708142665E+03; -6.880565637848E+00;  1.800790456770E+04;  1.816420023764E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  2.377708142665E+03; -6.880565637848E+00;  5.572453866071E+03;  6.058529973795E+03
5;5.000020;10141;  2.395306409298E+03;  1.345493042518E+01;  1.805271324346E+04;  1.821093433298E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  2.395306409298E+03;  1.345493042518E+01;  5.617262541833E+03;  6.106661304957E+03
6;6.000028;10141;  2.134902764722E+03;  2.012887561408E+01;  1.824869109714E+04;  1.837315818647E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  2.134902764722E+03;  2.012887561408E+01;  5.813240395513E+03;  6.192897454542E+03
7;7.000040;10141;  2.133457099967E+03; -6.053028454972E+01;  1.863357805472E+04;  1.875541346476E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  2.133457099967E+03; -6.053028454972E+01;  6.198127353094E+03;  6.555309740807E+03
8;8.000022;10141;  2.079548224799E+03; -6.014582921171E+01;  1.849952072049E+04;  1.861613292894E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  2.079548224799E+03; -6.014582921171E+01;  6.064070018869E+03;  6.411012676152E+03
9;9.000048;10141;  2.103641492014E+03;  4.152703396417E+01;  1.825221903572E+04;  1.837309260166E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  2.103641492014E+03;  4.152703396417E+01;  5.816768334093E+03;  6.185614429786E+03
