Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N];Weight.x [N];Weight.y [N];Weight.z [N];ForceTotal.x [N];ForceTotal.y [N];ForceTotal.z [N];ForceTotal [N]
0;0.000000;10141;  5.426700590032E+04; -6.466796066392E+02; -2.961374688041E+04;  6.182475336138E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  5.426700590032E+04; -6.466796066392E+02; -4.204919758204E+04;  6.865465127136E+04
1;1.000044;10141;  9.758609287866E+03;  4.930202727652E+02;  3.427596702759E+04;  3.564148481614E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  9.758609287866E+03;  4.930202727652E+02;  2.184051632597E+04;  2.392658934339E+04
2;2.000018;10141;  9.234013163627E+03;  4.678735214542E+02;  2.035596823592E+04;  2.235735555829E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  9.234013163627E+03;  4.678735214542E+02;  7.920517534295E+03;  1.217458429472E+04
3;3.000011;10141;  7.483831822202E+03;  9.786047145355E+01;  1.879406904497E+04;  2.022954143528E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  7.483831822202E+03;  9.786047145355E+01;  6.358618343341E+03;  9.820862622558E+03
4;4.000001;10141;  7.547587535717E+03; -1.032835666581E+02;  1.770205773501E+04;  1.924420934095E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  7.547587535717E+03; -1.032835666581E+02;  5.266607033388E+03;  9.204015142783E+03
5;5.000020;10141;  7.314244392130E+03; -3.616099437365E+01;  1.788971987898E+04;  1.932722318373E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  7.314244392130E+03; -3.616099437365E+01;  5.454269177359E+03;  9.124063289150E+03
6;6.000028;10141;  6.802698886253E+03; -3.258257658364E+01;  1.812558875175E+04;  1.936013278258E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.802698886253E+03; -3.258257658364E+01;  5.690138050127E+03;  8.868790491991E+03
7;7.000040;10141;  6.684832715360E+03; -1.407970426993E+02;  1.861523594549E+04;  1.977963148155E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.684832715360E+03; -1.407970426993E+02;  6.179785243865E+03;  9.104754686419E+03
8;8.000022;10141;  6.588208897165E+03; -8.563842146935E+01;  1.845257516018E+04;  1.959360509079E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.588208897165E+03; -8.563842146935E+01;  6.017124458551E+03;  8.922870455274E+03
9;9.000048;10141;  6.626959712957E+03;  2.160174821758E+01;  1.817632883946E+04;  1.934673077687E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.626959712957E+03;  2.160174821758E+01;  5.740878137831E+03;  8.767824329108E+03
10;10.000046;10141;  6.937953237887E+03;  2.976126901414E+00;  1.849714211244E+04;  1.975549215576E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.937953237887E+03;  2.976126901414E+00;  6.061691410813E+03;  9.212996621533E+03
11;11.000029;10141;  6.969374733380E+03; -1.259895214722E+02;  1.863235855019E+04;  1.989353771144E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.969374733380E+03; -1.259895214722E+02;  6.196907848560E+03;  9.326828207775E+03
12;12.000043;10141;  6.744575941129E+03; -2.198155595528E+02;  1.858009096257E+04;  1.976758466994E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.744575941129E+03; -2.198155595528E+02;  6.144640260949E+03;  9.126567122547E+03
13;13.000026;10141;  6.542739292625E+03; -9.045270610174E+01;  1.875387609841E+04;  1.986261533278E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.542739292625E+03; -9.045270610174E+01;  6.318425396786E+03;  9.096049617172E+03
14;14.000017;10141;  6.450909153469E+03;  5.504370955148E+01;  1.853515731017E+04;  1.962573094764E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.450909153469E+03;  5.504370955148E+01;  6.099706608549E+03;  8.878270069482E+03
15;15.000036;10141;  6.286379422434E+03;  1.829080535516E+01;  1.869231096417E+04;  1.972108997945E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.286379422434E+03;  1.829080535516E+01;  6.256860262543E+03;  8.869453260565E+03
