Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N];Weight.x [N];Weight.y [N];Weight.z [N];ForceTotal.x [N];ForceTotal.y [N];ForceTotal.z [N];ForceTotal [N]
16;16.000049;10141;  6.460930050977E+03; -9.700563379246E+01;  1.898728943170E+04;  2.005667437986E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.460930050977E+03; -9.700563379246E+01;  6.551838730076E+03;  9.202152898182E+03
17;17.000010;10141;  6.368617276157E+03;  7.551042525478E+00;  1.899498166436E+04;  2.003418756670E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.368617276157E+03;  7.551042525478E+00;  6.559530962737E+03;  9.142581116923E+03
18;18.000025;10141;  6.677280995336E+03;  1.056795515450E+01;  1.921915548961E+04;  2.034605934588E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.677280995336E+03;  1.056795515450E+01;  6.783704787984E+03;  9.518657669171E+03
19;19.000048;10141;  6.874315589055E+03; -3.464461695966E+01;  1.866334256332E+04;  1.988913700248E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.874315589055E+03; -3.464461695966E+01;  6.227891861696E+03;  9.275993321924E+03
20;20.000031;10141;  6.838720750628E+03; -3.747646075543E+01;  1.830004981567E+04;  1.953615441294E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.838720750628E+03; -3.747646075543E+01;  5.864599114047E+03;  9.009052600504E+03
21;21.000017;10141;  6.817068308767E+03; -1.861751776196E+02;  1.843470471841E+04;  1.965567143545E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.817068308767E+03; -1.861751776196E+02;  5.999254016788E+03;  9.082848137072E+03
22;22.000007;10141;  6.633211059765E+03; -8.853167422095E+01;  1.826447014983E+04;  1.943188608126E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.633211059765E+03; -8.853167422095E+01;  5.829019448208E+03;  8.830899985184E+03
23;23.000026;10141;  6.623250505650E+03; -1.079230940622E+02;  1.847498099926E+04;  1.962661503107E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.623250505650E+03; -1.079230940622E+02;  6.039530297632E+03;  8.964096210486E+03
24;24.000017;10141;  6.441383477432E+03;  4.885316187078E+01;  1.839680719577E+04;  1.949195533375E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.441383477432E+03;  4.885316187078E+01;  5.961356494144E+03;  8.776763582610E+03
25;25.000033;10141;  6.399346493479E+03;  2.872103597708E+01;  1.836278388963E+04;  1.944593254690E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.399346493479E+03;  2.872103597708E+01;  5.927333188001E+03;  8.722713979209E+03
26;26.000016;10141;  6.348369820141E+03; -3.691681534695E+01;  1.875314046423E+04;  1.979857165292E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.348369820141E+03; -3.691681534695E+01;  6.317689762605E+03;  8.956358979019E+03
27;27.000026;10141;  6.401627871595E+03; -3.507447489050E+01;  1.862996240533E+04;  1.969917685715E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.401627871595E+03; -3.507447489050E+01;  6.194511703709E+03;  8.908088732863E+03
28;28.000018;10141;  6.232158520308E+03;  2.224563363018E+01;  1.854758681336E+04;  1.956663668824E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.232158520308E+03;  2.224563363018E+01;  6.112136111731E+03;  8.729175364191E+03
29;29.000018;10141;  6.371718491476E+03; -5.826764272154E+01;  1.862054652914E+04;  1.968062358506E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.371718491476E+03; -5.826764272154E+01;  6.185095827518E+03;  8.880180293687E+03
30;30.000004;10141;  6.324523972575E+03; -1.536467812254E+02;  1.860047007578E+04;  1.964690046427E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.324523972575E+03; -1.536467812254E+02;  6.165019374153E+03;  8.833497308357E+03
31;31.000020;10141;  6.246780361056E+03;  3.598476117291E+01;  1.859778606136E+04;  1.961889920883E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.246780361056E+03;  3.598476117291E+01;  6.162335359734E+03;  8.774846828756E+03
32;32.000027;10141;  6.245873530241E+03; -1.257437415293E+02;  1.836539898210E+04;  1.939883056825E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.245873530241E+03; -1.257437415293E+02;  5.929948280471E+03;  8.613421750580E+03
33;33.000031;10141;  6.232516639721E+03; -8.064176540363E+01;  1.846858928851E+04;  1.949203829943E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.232516639721E+03; -8.064176540363E+01;  6.033138586886E+03;  8.674648578894E+03
34;34.000002;10141;  6.231921446944E+03; -3.770487859330E+01;  1.864129892627E+04;  1.965543925323E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.231921446944E+03; -3.770487859330E+01;  6.205848224647E+03;  8.794931424753E+03
35;35.000022;10141;  6.306549985727E+03; -6.452524962279E+01;  1.866258605961E+04;  1.969946330900E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.306549985727E+03; -6.452524962279E+01;  6.227135357988E+03;  8.863066681291E+03
36;36.000007;10141;  6.332444190435E+03; -1.406792343683E+02;  1.846886638094E+04;  1.952482177816E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.332444190435E+03; -1.406792343683E+02;  6.033415679312E+03;  8.747670823215E+03
37;37.000002;10141;  6.300501701781E+03; -2.424355357110E+02;  1.862551706739E+04;  1.966379878637E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.300501701781E+03; -2.424355357110E+02;  6.190066365769E+03;  8.835837158739E+03
38;38.000026;10141;  6.325534196054E+03; -3.509236507969E+00;  1.859804441488E+04;  1.964432872963E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.325534196054E+03; -3.509236507969E+00;  6.162593713253E+03;  8.831192244245E+03
39;39.000047;10141;  6.228095179606E+03; -6.588081956510E+01;  1.859824795397E+04;  1.961347334885E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.228095179606E+03; -6.588081956510E+01;  6.162797252344E+03;  8.762053402150E+03
40;40.000057;10141;  6.437786962648E+03; -7.223455673987E+01;  1.855313682352E+04;  1.963846238380E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  6.437786962648E+03; -7.223455673987E+01;  6.117686121892E+03;  8.881238781478E+03
